0;(0,0,0)
1;(255,0,0)
2;(255,0,0)
3;(255,0,0)
4;(255,0,0)
5;(255,0,0)
6;(255,0,0)
7;(255,0,0)
8;(255,0,0)
9;(231,24,0)
10;(231,24,0)
11;(231,24,0)
12;(231,24,0)
13;(231,24,0)
14;(231,24,0)
15;(231,24,0)
16;(231,24,0)
17;(207,48,0)
18;(207,48,0)
19;(207,48,0)
20;(207,48,0)
21;(207,48,0)
22;(207,48,0)
23;(207,48,0)
24;(207,48,0)
25;(183,72,0)
26;(183,72,0)
27;(183,72,0)
28;(183,72,0)
29;(183,72,0)
30;(183,72,0)
31;(183,72,0)
32;(183,72,0)
33;(159,96,0)
34;(159,96,0)
35;(159,96,0)
36;(159,96,0)
37;(159,96,0)
38;(159,96,0)
39;(159,96,0)
40;(159,96,0)
41;(135,120,0)
42;(159,96,0)
43;(159,96,0)
44;(159,96,0)
45;(159,96,0)
46;(159,96,0)
47;(159,96,0)
48;(159,96,0)
49;(111,144,0)
50;(111,144,0)
51;(111,144,0)
52;(111,144,0)
53;(111,144,0)
54;(111,144,0)
55;(111,144,0)
56;(111,144,0)
57;(87,168,0)
58;(87,168,0)
59;(87,168,0)
60;(87,168,0)
61;(87,168,0)
62;(87,168,0)
63;(87,168,0)
64;(87,168,0)
65;(63,192,0)
66;(63,192,0)
67;(63,192,0)
68;(63,192,0)
69;(63,192,0)
70;(63,192,0)
71;(63,192,0)
72;(63,192,0)
73;(39,216,0)
74;(39,216,0)
75;(39,216,0)
76;(39,216,0)
77;(39,216,0)
78;(39,216,0)
79;(39,216,0)
80;(39,216,0)
81;(15,240,0)
82;(15,240,0)
83;(15,240,0)
84;(15,240,0)
85;(15,240,0)
86;(15,240,0)
87;(15,240,0)
88;(15,240,0)
89;(0,246,9)
90;(0,246,9)
91;(0,246,9)
92;(0,246,9)
93;(0,246,9)
94;(0,246,9)
95;(0,246,9)
96;(0,246,9)
97;(0,222,33)
98;(0,222,33)
99;(0,222,33)
100;(0,222,33)
101;(0,222,33)
102;(0,222,33)
103;(0,222,33)
104;(0,222,33)
105;(0,198,57)
106;(0,198,57)
107;(0,198,57)
108;(0,198,57)
109;(0,198,57)
110;(0,198,57)
111;(0,198,57)
112;(0,198,57)
113;(0,174,81)
114;(0,174,81)
115;(0,174,81)
116;(0,174,81)
117;(0,174,81)
118;(0,174,81)
119;(0,174,81)
120;(0,174,81)
121;(0,150,105)
122;(0,150,105)
123;(0,150,105)
124;(0,150,105)
125;(0,150,105)
126;(0,150,105)
127;(0,150,105)
128;(0,150,105)
129;(0,126,129)
130;(0,126,129)
131;(0,126,129)
132;(0,126,129)
133;(0,126,129)
134;(0,126,129)
135;(0,126,129)
136;(0,126,129)
137;(0,102,153)
138;(0,102,153)
139;(0,102,153)
140;(0,102,153)
141;(0,102,153)
142;(0,102,153)
143;(0,102,153)
144;(0,102,153)
145;(0,78,177)
146;(0,78,177)
147;(0,78,177)
148;(0,78,177)
149;(0,78,177)
150;(0,78,177)
151;(0,78,177)
152;(0,78,177)
153;(0,54,201)
154;(0,54,201)
155;(0,54,201)
156;(0,54,201)
157;(0,54,201)
158;(0,54,201)
159;(0,54,201)
160;(0,54,201)
161;(0,30,225)
162;(0,30,225)
163;(0,30,225)
164;(0,30,225)
165;(0,30,225)
166;(0,30,225)
167;(0,30,225)
168;(0,30,225)
169;(0,6,249)
170;(0,6,249)
171;(0,6,249)
172;(0,6,249)
173;(0,6,249)
174;(0,6,249)
175;(0,6,249)
176;(0,6,249)
177;(21,0,234)
178;(21,0,234)
179;(21,0,234)
180;(21,0,234)
181;(21,0,234)
182;(21,0,234)
183;(21,0,234)
184;(21,0,234)
185;(45,0,210)
186;(45,0,210)
187;(45,0,210)
188;(45,0,210)
189;(45,0,210)
190;(45,0,210)
191;(45,0,210)
192;(45,0,210)
193;(69,0,186)
194;(69,0,186)
195;(69,0,186)
196;(69,0,186)
197;(69,0,186)
198;(69,0,186)
199;(69,0,186)
200;(69,0,186)
201;(93,0,162)
202;(93,0,162)
203;(93,0,162)
204;(93,0,162)
205;(93,0,162)
206;(93,0,162)
207;(93,0,162)
208;(93,0,162)
209;(117,0,138)
210;(117,0,138)
211;(117,0,138)
212;(117,0,138)
213;(117,0,138)
214;(117,0,138)
215;(117,0,138)
216;(117,0,138)
217;(141,0,114)
218;(141,0,114)
219;(141,0,114)
220;(141,0,114)
221;(141,0,114)
222;(141,0,114)
223;(141,0,114)
224;(141,0,114)
225;(165,0,90)
226;(165,0,90)
227;(165,0,90)
228;(165,0,90)
229;(165,0,90)
230;(165,0,90)
231;(165,0,90)
232;(165,0,90)
233;(189,0,66)
234;(189,0,66)
235;(189,0,66)
236;(189,0,66)
237;(189,0,66)
238;(189,0,66)
239;(189,0,66)
240;(189,0,66)
241;(213,0,42)
242;(213,0,42)
243;(213,0,42)
244;(213,0,42)
245;(213,0,42)
246;(213,0,42)
247;(213,0,42)
248;(213,0,42)
249;(255,0,3)
250;(255,0,3)
251;(255,0,3)
252;(255,0,3)
253;(255,0,3)
254;(255,0,3)
255;(255,0,3)
